game_slug,start_date,end_date,season,country,city,game_year
beijing-2022,2022-02-04,2022-02-20,Winter,China,Beijing,2022
tokyo-2020,2021-07-23,2021-08-08,Summer,Japan,Tokyo,2020
pyeongchang-2018,2018-02-08,2018-02-25,Winter,Republic of Korea,PyeongChang,2018
rio-2016,2016-08-05,2016-08-21,Summer,Brazil,Rio,2016
sochi-2014,2014-02-07,2014-02-23,Winter,Russian Federation,Sochi,2014
london-2012,2012-07-27,2012-08-12,Summer,Great Britain,London,2012
vancouver-2010,2010-02-12,2010-02-28,Winter,Canada,Vancouver,2010
beijing-2008,2008-08-08,2008-08-24,Summer,China,Beijing,2008
turin-2006,2006-02-10,2006-02-26,Winter,Italy,Turin,2006
athens-2004,2004-08-13,2004-08-29,Summer,Greece,Athens,2004
salt-lake-city-2002,2002-02-08,2002-02-24,Winter,United States,Salt Lake City,2002
sydney-2000,2000-09-15,2000-10-01,Summer,Australia,Sydney,2000
nagano-1998,1998-02-06,1998-02-22,Winter,Japan,Nagano,1998
atlanta-1996,1996-07-19,1996-08-05,Summer,United States,Atlanta,1996
lillehammer-1994,1994-02-12,1994-02-27,Winter,Norway,Lillehammer,1994
barcelona-1992,1992-07-25,1992-08-09,Summer,Spain,Barcelona,1992
albertville-1992,1992-02-08,1992-02-23,Winter,France,Albertville,1992
seoul-1988,1988-09-16,1988-10-02,Summer,Republic of Korea,Seoul,1988
calgary-1988,1988-02-13,1988-02-28,Winter,Canada,Calgary,1988
los-angeles-1984,1984-07-28,1984-08-12,Summer,United States,Los Angeles,1984
sarajevo-1984,1984-02-08,1984-02-19,Winter,Yugoslavia,Sarajevo,1984
moscow-1980,1980-07-19,1980-08-03,Summer,USSR,Moscow,1980
lake-placid-1980,1980-02-13,1980-02-24,Winter,United States,Lake Placid,1980
montreal-1976,1976-07-17,1976-07-31,Summer,Canada,Montreal,1976
innsbruck-1976,1976-02-04,1976-02-15,Winter,Austria,Innsbruck,1976
munich-1972,1972-08-26,1972-09-11,Summer,Federal Republic of Germany,Munich,1972
sapporo-1972,1972-02-02,1972-02-13,Winter,Japan,Sapporo,1972
mexico-city-1968,1968-10-12,1968-10-28,Summer,Mexico,Mexico City,1968
grenoble-1968,1968-02-06,1968-02-18,Winter,France,Grenoble,1968
tokyo-1964,1964-10-09,1964-10-24,Summer,Japan,Tokyo,1964
innsbruck-1964,1964-01-29,1964-02-09,Winter,Austria,Innsbruck,1964
rome-1960,1960-08-25,1960-09-11,Summer,Italy,Rome,1960
squaw-valley-1960,1960-02-18,1960-02-28,Winter,United States,Squaw Valley,1960
melbourne-1956,1956-11-21,1956-12-08,Summer,"Australia, Sweden",Melbourne,1956
cortina-d-ampezzo-1956,1956-01-26,1956-02-05,Winter,Italy,Cortina d'Ampezzo,1956
helsinki-1952,1952-07-19,1952-08-03,Summer,Finland,Helsinki,1952
oslo-1952,1952-02-14,1952-02-25,Winter,Norway,Oslo,1952
london-1948,1948-07-29,1948-08-14,Summer,Great Britain,London,1948
st-moritz-1948,1948-01-30,1948-02-08,Winter,Switzerland,St. Moritz,1948
berlin-1936,1936-08-01,1936-08-16,Summer,Germany,Berlin,1936
garmisch-partenkirchen-1936,1936-02-06,1936-02-16,Winter,Germany,Garmisch-Partenkirchen,1936
los-angeles-1932,1932-07-30,1932-08-14,Summer,United States,Los Angeles,1932
lake-placid-1932,1932-02-04,1932-02-15,Winter,United States,Lake Placid,1932
amsterdam-1928,1928-05-17,1928-08-12,Summer,Netherlands,Amsterdam,1928
st-moritz-1928,1928-02-11,1928-02-19,Winter,Switzerland,St. Moritz,1928
paris-1924,1924-05-04,1924-07-27,Summer,France,Paris,1924
chamonix-1924,1924-01-25,1924-02-05,Winter,France,Chamonix,1924
antwerp-1920,1920-04-20,1920-09-12,Summer,Belgium,Antwerp,1920
stockholm-1912,1912-05-05,1912-07-27,Summer,Sweden,Stockholm,1912
london-1908,1908-04-27,1908-10-31,Summer,Great Britain,London,1908
st-louis-1904,1904-07-01,1904-11-24,Summer,United States,St. Louis,1904
paris-1900,1900-05-14,1900-10-28,Summer,France,Paris,1900
athens-1896,1896-04-06,1896-04-15,Summer,Greece,Athens,1896
